file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\test\java\se\citerus\dddsample\domain\shared\experimental\ValueObjectSupportTest.java,se.citerus.dddsample.domain.shared.experimental.ValueObjectSupportTest$AValueObject,AValueObject/0,true,31,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\test\java\se\citerus\dddsample\domain\shared\experimental\ValueObjectSupportTest.java,se.citerus.dddsample.domain.shared.experimental.ValueObjectSupportTest$AValueObject,AValueObject/1[java.lang.String],true,27,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\test\java\se\citerus\dddsample\domain\model\handling\HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testParseTypeIllegal/0,false,109,2,1,0,1,2,2,8,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,13,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\test\java\se\citerus\dddsample\domain\model\handling\HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testCurrentLocationReceivedEvent/0,false,87,2,2,0,2,1,3,4,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\test\java\se\citerus\dddsample\domain\model\handling\HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testCurrentLocationClaimedEvent/0,false,94,2,2,0,2,1,3,4,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\test\java\se\citerus\dddsample\domain\model\handling\HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,setUp/0,false,34,4,3,0,3,1,0,5,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,11,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\test\java\se\citerus\dddsample\domain\model\handling\HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testEqualsAndSameAs/0,false,119,2,2,0,2,1,4,11,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\test\java\se\citerus\dddsample\domain\model\handling\HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testNewWithCarrierMovement/0,false,41,2,2,0,2,5,5,22,0,2,0,5,0,0,2,0,2,0,4,0,2,2,2,0,0,0,33,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\test\java\se\citerus\dddsample\domain\model\handling\HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testParseType/0,false,101,2,1,0,1,1,3,6,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,19,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\test\java\se\citerus\dddsample\domain\model\handling\HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testNewWithLocation/0,false,67,2,2,0,2,1,3,4,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\test\java\se\citerus\dddsample\domain\model\handling\HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testCurrentLocationLoadEvent/0,false,73,2,2,0,2,1,3,4,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\test\java\se\citerus\dddsample\domain\model\handling\HandlingEventTest.java,se.citerus.dddsample.domain.model.handling.HandlingEventTest,testCurrentLocationUnloadEvent/0,false,80,1,2,0,2,1,3,4,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\main\java\se\citerus\dddsample\domain\model\handling\HandlingEvent.java,se.citerus.dddsample.domain.model.handling.HandlingEvent$Type,prohibitsVoyage/0,false,72,1,2,1,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\main\java\se\citerus\dddsample\domain\model\handling\HandlingEvent.java,se.citerus.dddsample.domain.model.handling.HandlingEvent$Type,requiresVoyage/0,false,65,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\main\java\se\citerus\dddsample\domain\model\handling\HandlingEvent.java,se.citerus.dddsample.domain.model.handling.HandlingEvent$Type,sameValueAs/1[se.citerus.dddsample.domain.model.handling.HandlingEvent.Type],false,77,1,2,2,0,2,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\main\java\se\citerus\dddsample\domain\model\handling\HandlingEvent.java,se.citerus.dddsample.domain.model.handling.HandlingEvent$Type,Type/1[boolean],true,58,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,2,0,true
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\main\java\com\aggregator\HandlingReportServiceService.java,com.aggregator.HandlingReportServiceService,HandlingReportServiceService/0,true,40,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\main\java\com\aggregator\HandlingReportServiceService.java,com.aggregator.HandlingReportServiceService,"HandlingReportServiceService/2[java.net.URL,javax.xml.namespace.QName]",true,36,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\main\java\com\aggregator\HandlingReportServiceService.java,com.aggregator.HandlingReportServiceService,getHandlingReportServicePort/0,false,50,2,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,1,0,true
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\main\java\com\aggregator\HandlingReportServiceService.java,com.aggregator.HandlingReportServiceService,(initializer 1),false,26,0,2,0,2,2,1,10,0,1,0,1,0,0,0,0,1,0,1,0,3,0,1,0,0,0,29,8,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\main\java\com\aggregator\HandlingReportServiceService.java,com.aggregator.HandlingReportServiceService,getHandlingReportServicePort/1[com.aggregator.WebServiceFeature[]],false,62,3,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25,1,0,true
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\main\java\se\citerus\dddsample\domain\model\voyage\CarrierMovement.java,se.citerus.dddsample.domain.model.voyage.CarrierMovement,CarrierMovement/0,true,106,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\main\java\se\citerus\dddsample\domain\model\voyage\CarrierMovement.java,se.citerus.dddsample.domain.model.voyage.CarrierMovement,hashCode/0,false,87,1,1,1,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\main\java\se\citerus\dddsample\domain\model\voyage\CarrierMovement.java,se.citerus.dddsample.domain.model.voyage.CarrierMovement,departureLocation/0,false,51,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\main\java\se\citerus\dddsample\domain\model\voyage\CarrierMovement.java,se.citerus.dddsample.domain.model.voyage.CarrierMovement,arrivalLocation/0,false,58,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
C:\www\pessoal\lab-medicao-experiment-software\lab-02\lab-02\lab-02\repositorios\dddsample-core\src\main\java\se\citerus\dddsample\domain\model\voyage\CarrierMovement.java,se.citerus.dddsample.domain.model.voyage.CarrierMovement,equals/1[java.lang.Object],false,77,1,2,1,1,4,2,6,3,1,1,2,1,1,0,3,0,0,0,0,1,0,1,0,0,0,14,1,0,false
