RepositoryAge,RepositoyCreatedAt,PullRequestCount,ReleasesCount,LastUpdate,PrimaryLanguage,IssuesCount,ClosedIssuesCount,OpenIssuesCount,IssuesResolved,RepositoryUrl
2,02/18/2019 08:30:52,2,0,526.829431225,,45,31,14,0.6888888888888889,https://github.com/Micropoor/Micro8
3,04/04/2018 06:37:33,399,18,-98.67056876833334,Java,1602,1296,306,0.8089887640449438,https://github.com/alibaba/Sentinel
3,05/01/2018 22:39:02,470,80,-58.28723543,TypeScript,2371,2353,18,0.9924082665541966,https://github.com/neoclide/coc.nvim
3,03/19/2018 02:38:12,60,0,442.4127645766667,,104,75,29,0.7211538461538461,https://github.com/InterviewMap/CS-Interview-Knowledge-Map
7,07/20/2014 23:33:08,180,2,1758.3960979166666,JavaScript,237,228,9,0.9620253164556962,https://github.com/facebook/flux
3,04/02/2018 14:43:21,4091,226,-58.037235411666664,JavaScript,2963,2636,327,0.8896388795140061,https://github.com/DIYgod/RSSHub
9,06/08/2012 15:32:30,7,51,-150.17056874,CoffeeScript,2171,1666,505,0.7673883003224321,https://github.com/FelisCatus/SwitchyOmega
8,08/11/2013 23:18:28,431,3,-131.30390206666667,Python,327,290,37,0.8868501529051988,https://github.com/bitcoinbook/bitcoinbook
7,01/20/2014 14:14:11,1846,20,-41.45390206166667,Elixir,2056,2049,7,0.9965953307392996,https://github.com/phoenixframework/phoenix
5,10/25/2016 19:38:30,8693,47,-165.37056872333332,Python,7526,5919,1607,0.7864735583311188,https://github.com/ray-project/ray
5,12/26/2016 04:40:55,2109,18,-152.97056871666666,Vim script,2147,2043,104,0.951560316721006,https://github.com/SpaceVim/SpaceVim
6,11/26/2015 09:52:06,257,32,3032.37943129,C++,3277,2523,754,0.7699115044247787,https://github.com/microsoft/CNTK
8,07/18/2013 16:00:26,197,203,-88.470568705,HTML,3936,3252,684,0.8262195121951219,https://github.com/uikit/uikit
7,04/09/2014 20:02:38,54,18,3404.979431301667,JavaScript,812,772,40,0.9507389162561576,https://github.com/julianshapiro/velocity
3,02/12/2018 19:30:10,11,0,-134.67056869333334,Jupyter Notebook,228,150,78,0.6578947368421053,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp
4,01/03/2017 11:44:33,0,0,481.812764645,JavaScript,134,100,34,0.746268656716418,https://github.com/qianguyihao/Web
11,01/02/2010 01:17:06,89,15,320.0294313183333,C++,5820,5227,593,0.8981099656357389,https://github.com/facebook/hhvm
8,04/26/2013 08:06:57,7,14,549.4127646566667,JavaScript,410,139,271,0.33902439024390246,https://github.com/nuysoft/Mock
7,09/20/2014 16:37:28,48,15,400.3127646616667,Go,516,369,147,0.7151162790697675,https://github.com/coreybutler/nvm-windows
7,07/05/2014 07:07:43,206,0,156.47943133333334,,39,39,0,1,https://github.com/academic/awesome-datascience
5,08/24/2016 17:02:41,58,0,794.07943134,Jupyter Notebook,148,60,88,0.40540540540540543,https://github.com/dennybritz/reinforcement-learning
6,09/14/2015 15:04:15,801,106,-73.170568655,TypeScript,912,784,128,0.8596491228070176,https://github.com/statelyai/xstate
9,07/21/2012 13:49:59,1235,216,-80.80390198333333,C++,2878,2814,64,0.9777623349548298,https://github.com/swoole/swoole-src
10,08/23/2011 07:57:17,363,49,298.4627646883333,PHP,1790,1769,21,0.988268156424581,https://github.com/PHPMailer/PHPMailer
6,01/12/2015 00:41:38,388,22,308.662764695,JavaScript,2104,1425,679,0.6772813688212928,https://github.com/HelloZeroNet/ZeroNet
4,09/21/2017 11:08:23,107,0,350.52943136666664,,58,56,2,0.9655172413793104,https://github.com/1c7/chinese-independent-developer
4,10/29/2017 18:51:48,91,18,-97.337235295,Vue,277,185,92,0.6678700361010831,https://github.com/nocodb/nocodb
7,06/07/2014 07:00:10,4666,0,-74.18723527833333,Java,0,0,0,0,https://github.com/apache/flink
8,08/03/2013 00:20:12,86,20,176.74609806,JavaScript,296,294,2,0.9932432432432432,https://github.com/chalk/chalk
5,05/04/2016 08:11:22,246,25,1867.6127647333333,Kotlin,300,212,88,0.7066666666666667,https://github.com/google/flexbox-layout
6,12/14/2015 22:05:06,10,0,230.24609807166667,Go,25,11,14,0.44,https://github.com/tmrts/go-patterns
8,10/08/2013 23:32:10,641,69,-132.47056859,C#,4855,4469,386,0.9204943357363543,https://github.com/ShareX/ShareX
10,02/17/2011 11:08:03,445,53,0.4960980816666667,Python,1190,1162,28,0.9764705882352941,https://github.com/locustio/locust
5,05/05/2016 20:10:40,931,47,-157.77056857833333,Python,849,566,283,0.6666666666666666,https://github.com/magenta/magenta
7,06/26/2014 08:49:14,44,19,573.5960980933334,CoffeeScript,178,145,33,0.8146067415730337,https://github.com/mojs/mojs
10,11/09/2011 22:32:45,460,78,791.6294314316667,JavaScript,1299,1293,6,0.9953810623556582,https://github.com/websockets/ws
