Cbo,CboModified,Dit,Lcom,Lcom2,Loc,RepositoryName
2,2,1,0,0,5151,XRecyclerView/XRecyclerView
2,4,1,0,0,3076,hanks-zyh/HTextView
0.5,1,1,0,0.125,37,MindorksOpenSource/from-java-to-kotlin
3,3,1,0,0,6501,yixia/VitamioBundle
5,8,1,1,0.33333334,188209,Alluxio/alluxio
1,2,1,0,0,1987,square/otto
3,5,1,1,0,12625,scribejava/scribejava
5,6,1,0,0,19432,testcontainers/testcontainers-java
0,0,1,0,0,8,h2pl/Java-Tutorial
2,3,1,0,0,757159,pentaho/pentaho-kettle
3,5,1,0,0,7255,changmingxie/tcc-transaction
2,2,1,0,0,2805,Clans/FloatingActionButton
4,7,1,0,0,57279,apache/incubator-shenyu
6,8,1,0,0,1908,apache/dubbo-spring-boot-project
2,2,1,0,0,449,Yalantis/Side-Menu.Android
2,4,1,0,0,11891,gzu-liyujiang/AndroidPicker
6,10,1,1,0,47146,graphql-java/graphql-java
4,6,1,0,0,39563,intuit/karate
3,3,1,0,0,34426,motianhuo/wechat
4,5,2,0,0,20692,h6ah4i/android-advancedrecyclerview
4,5,1,1,0,71163,thinkaurelius/titan
4,5,1,0,0,6250,527515025/springBoot
3,4,1,0,0,11090,yanzhenjie/SwipeRecyclerView
3,3,1,0,0,14543,wuhaoyu1990/MagicCamera
7.5,7.5,2,190,0,481,xxv/android-lifecycle
2,2,1,0,0,4487,CameraKit/camerakit-android
4,7,1,1,0,46601,JesusFreke/smali
2,2,1,0,0,1948,KeepSafe/TapTargetView
5,8,1,0,0,919,spring-projects/spring-petclinic
2,2,1,0,0,5967,Vedenin/useful-java-links
2,2,1,0,0,2223,frogermcs/InstaMaterial
3,6,1,0,0,2197,Karumi/Dexter
2,3,1,0,0,1518,alibaba/UltraViewPager
4,5,1,0,0,120772,micronaut-projects/micronaut-core
3.5,5,1,0,0,641,wasabeef/Blurry
2,2,1,0,0,7726,wequick/Small
3,5,1,1,0.3875,6671,Trinea/android-common
2,3,1,1,0,11244,careercup/ctci
0,0,1,0,0,5,twowaits/SDE-Interview-Questions
6,7,1,0,0,547927,apache/beam
2,2,1,0,0,504,traex/RippleEffect
3,3,1,0,0,14602,TommyLemon/Android-ZBLibrary
2.5,2.5,1,0.5,0,230,crazycodeboy/react-native-splash-screen
5,6,1,0,0,1281,spring-projects/spring-mvc-showcase
2,2,1,0,0,3992,amitshekhariitbhu/RxJava2-Android-Samples
4,8,1,0,0,17058,YunaiV/onemall
3,5,1,0,0,1047,orhanobut/dialogplus
5,6,1,0,0,55342,MinecraftForge/MinecraftForge
2,2,1,0.5,0,2538,Devlight/NavigationTabBar
4,6,1,1,0.4,4985,journeyapps/zxing-android-embedded
3,4,1,0,0,2018,yipianfengye/android-zxingLibrary
1.5,4,1,0,0,1305,Meituan-Dianping/Leaf
2,3,1,0,0,812,Ramotion/folding-cell-android
5,5,1,0,0,9485,andkulikov/Transitions-Everywhere
5,7,1,1,0,23221,claritylab/lucida
1,3,1,0,0,589,ZXZxin/ZXBlog
3,4,1.5,0.5,0.05,4010,etsy/AndroidStaggeredGrid
4.5,4.5,1.5,1,0,610,rubensousa/GravitySnapHelper
5,8,2,2,0,72547,mybatis/generator
3,4,1,0,0,71228,junit-team/junit5
1,2,1,0,0,5252,socketio/socket.io-client-java
3,7,1,1,0,3217,danikula/AndroidVideoCache
3,5,1,1,0,848,saiwu-bigkoo/Android-ConvenientBanner
4,5,1,0,0,38124,btraceio/btrace
3,3.5,1,0,0,2983,google/cameraview
3,6,1,3,0,3158,pardom-zz/ActiveAndroid
4,4,1,0,0,32257,gabrielemariotti/cardslib
2,4,1,1,0,1776,mcxiaoke/packer-ng-plugin
5,6,1,1,0,643734,hibernate/hibernate-orm
1,3,1,0,0,636,gyoogle/tech-interview-for-developer
3,4,2,0,0,2285,DingMouRen/LayoutManagerGroup
9,10,2,10,0.125,854,facebook/shimmer-android
6,10,2,10,0.5833333,91424,JodaOrg/joda-time
3,5,1,0,0,2668,ffay/lanproxy
2,2,1,0,0,3329,square/sqlbrite
3,4,1,0,0,1563,hongyangAndroid/baseAdapter
4,7,1,1,0,42723,AriaLyy/Aria
2,4,1,1,0,3935,google/google-authenticator
5,6,1,1,0,7536,wdullaer/MaterialDateTimePicker
3,5,1,1,0,41994,quartz-scheduler/quartz
6,9,2,3,0,45363,go-lang-plugin-org/go-lang-idea-plugin
2,2,1,0,0,3771,danielzeller/Depth-LIB-Android-
4,6,1,0,0,38793,tomakehurst/wiremock
2,3,1,0,0,34709,chentao0707/SimplifyReader
5,6,1,1,0,208359,questdb/questdb
4,5,1,0,0,6309,SplashCodes/JAViewer
8,12,1,3,0,186120,jOOQ/jOOQ
3,4,1,0,0,18441,youlookwhat/CloudReader
2,3,1,0,0,14165,huangyanbin/smartTable
2,2,1,0,0,7585,JakeWharton/NineOldAndroids
2,3,1,0,0,14467,alibaba/jvm-sandbox
5,5,1,4,0,148,PaperMC/Paper
3,3,1,0,0,2578,Flipboard/bottomsheet
