Cbo,CboModified,Dit,Lcom,Lcom2,Loc,RepositoryName
3.5,6,1,1,0.5,34751,killme2008/aviatorscript
7,10,1,3,0.8708332999999999,20203,supertokens/supertokens-core
4,6,1,0,0,4667,SimonVT/android-menudrawer
2.5,2.5,1,1,0.16666667,698,beworker/pinned-section-listview
5,7,1,0,0.5833333,944,halirutan/IntelliJ-Key-Promoter-X
2,2,1,0,0,1926,florent37/ViewAnimator
1,1,1,0,0,101,phodal/migration
2,4,1,0,0,4097,jjoe64/GraphView
4,5,2,3,0,19704,RipMeApp/ripme
3,5,1,0,0,587,arcadefire/nice-spinner
4,4,2,0,0,415,liangfeidotme/MasteringAndroidDataBinding
4,6,1,0,0,480866,wildfly/wildfly
5,6,2,4,0.44444445,2724,siyamed/android-shape-imageview
3,4,1,0,0,1933,nisrulz/sensey
2,4,1,0,NaN,2670,Pay-Group/best-pay-sdk
3,5,1,0,0,46663,apache/curator
3,3,1,0,0,11869,jackpal/Android-Terminal-Emulator
5,5,1,2,0,2487,r0adkll/Slidr
5,6.5,2,1.5,0,5453,cyrilmottier/GreenDroid
5,7,1,0,0,30126,pushtorefresh/storio
4,4,1,0,0,16930,code-troopers/android-betterpickers
2,3,1,0.5,0,1914,MagicMashRoom/SuperCalendar
2,2,1,1,0,1361,MiguelCatalan/MaterialSearchView
3,4,1,0,0,44604,bjmashibing/InternetArchitect
5,8,1,1,0,15235,dreamhead/moco
1,2,1,0,0,10984,brianway/java-learning
4,7,1,1,0,19748,chewiebug/GCViewer
4,5,1,0.5,0,96501,Freeyourgadget/Gadgetbridge
6,7,1,0,0,632,Heeexy/SpringBoot-Shiro-Vue
3,4,1,0,0,10774,oldmanpushcart/greys-anatomy
5,7,1,1,0,48782,AntennaPod/AntennaPod
5,7,1,0.5,0,3526,zhaojun1998/zfile
2,4,1,0,0,16098,coobird/thumbnailator
3,4.5,1,1,0,8428,yanzhenjie/NoHttp
3,4,1,0,0,203333,rstudio/rstudio
5,7,2,1,0.25,19130,microsoft/malmo
2,6,1,0,0,808,timehop/sticky-headers-recyclerview
4,6,1,0,0,25677,dromara/hmily
2,5,1,1,0,4326,Genymobile/gnirehtet
2,4.5,1,0,0,5185,zzhoujay/RichText
6,7,1,1,0,968485,opensearch-project/OpenSearch
2,2,1,0,0,2295,databricks/learning-spark
6,7,2,1,0,1451,lzyzsd/CircleProgress
