RepositoryAge,RepositoyCreatedAt,ReleasesCount,PrimaryLanguage,RepositoryUrl,RepositoryClone,RepositoryOwner,StarsCount,SourceLinesOfCode
0,09/14/2021 20:35:07,0,,,https://github.com/facebook/stetho.git,facebook/stetho,0,
0,09/14/2021 20:35:07,0,,,https://github.com/eclipse-vertx/vert.x.git,eclipse-vertx/vert.x,0,
0,09/14/2021 20:35:07,0,,,https://github.com/android-hacker/VirtualXposed.git,android-hacker/VirtualXposed,0,
0,09/14/2021 20:35:07,0,,,https://github.com/Anuken/Mindustry.git,Anuken/Mindustry,0,
0,09/14/2021 20:35:07,0,,,https://github.com/eclipse/deeplearning4j.git,eclipse/deeplearning4j,0,
0,09/14/2021 20:35:07,0,,,https://github.com/mockito/mockito.git,mockito/mockito,0,
0,09/14/2021 20:35:07,0,,,https://github.com/justauth/JustAuth.git,justauth/JustAuth,0,
0,09/14/2021 20:35:07,0,,,https://github.com/daimajia/AndroidSwipeLayout.git,daimajia/AndroidSwipeLayout,0,
0,09/14/2021 20:35:07,0,,,https://github.com/zhihu/Matisse.git,zhihu/Matisse,0,
0,09/14/2021 20:35:07,0,,,https://github.com/arduino/Arduino.git,arduino/Arduino,0,
0,09/14/2021 20:35:07,0,,,https://github.com/daimajia/AndroidViewAnimations.git,daimajia/AndroidViewAnimations,0,
0,09/14/2021 20:35:07,0,,,https://github.com/apache/hadoop.git,apache/hadoop,0,
0,09/14/2021 20:35:07,0,,,https://github.com/baomidou/mybatis-plus.git,baomidou/mybatis-plus,0,
0,09/14/2021 20:35:07,0,,,https://github.com/Tencent/APIJSON.git,Tencent/APIJSON,0,
0,09/14/2021 20:35:07,0,,,https://github.com/youth5201314/banner.git,youth5201314/banner,0,
0,09/14/2021 20:35:07,0,,,https://github.com/Tencent/VasSonic.git,Tencent/VasSonic,0,
0,09/14/2021 20:35:07,0,,,https://github.com/Netflix/zuul.git,Netflix/zuul,0,
0,09/14/2021 20:35:07,0,,,https://github.com/realm/realm-java.git,realm/realm-java,0,
0,09/14/2021 20:35:07,0,,,https://github.com/jfeinstein10/SlidingMenu.git,jfeinstein10/SlidingMenu,0,
0,09/14/2021 20:35:07,0,,,https://github.com/androidannotations/androidannotations.git,androidannotations/androidannotations,0,
0,09/14/2021 20:35:07,0,,,https://github.com/apache/druid.git,apache/druid,0,
0,09/14/2021 20:35:07,0,,,https://github.com/openjdk/jdk.git,openjdk/jdk,0,
0,09/14/2021 20:35:07,0,,,https://github.com/williamfiset/Algorithms.git,williamfiset/Algorithms,0,
0,09/14/2021 20:35:07,0,,,https://github.com/sqshq/piggymetrics.git,sqshq/piggymetrics,0,
0,09/14/2021 20:35:07,0,,,https://github.com/alibaba/vlayout.git,alibaba/vlayout,0,
