Cbo,CboModified,Dit,Lcom,Lcom2,Loc,RepositoryName
4,6,1,0,0,8577,emichael/dslabs
3,4,1,1,0,456,ideacreation/react-native-barcodescanner
4,6,1,1,0,12345,youseries/uflo
3,6,1,0,0,22016,apache/incubator-eventmesh
5,7,1,1,0.095037453,103557,LinkedInAttic/sensei
8.5,10.5,1,0,0.418934265,4548,weiboad/fiery
2,4,1,0,0,471,Rogero0o/PasswordLoadingView
7,8,2,3,0.6666667,199,googlearchive/android-PdfRendererBasic
3,4.5,1,7.5,0,3186,MiracleTanC/Neo4j-KGBuilder
2,2,1,0,0,1669,H07000223/FlycoBanner_Master
1,2,1,0,0,22064,jxnu-liguobin/cs-summary-reflection
2,3,1,0,0,11792,hellokoding/hellokoding-courses
6,9,1,1,0.33333334,14246,648540858/wvp-GB28181-pro
4,5,1,0,0,270510,eclipse-ee4j/jersey
4,5,1,0,0,359,boredream/BorePlugin
6,7,1,1,0,83175,beehive-lab/TornadoVM
3,6,1,0,0,5032,anshooarora/extentreports-java
2,2,1,0,0,37907,OneSignal/OneSignal-Android-SDK
2,3,1,0,0,4033,OnlyInAmerica/GlanceReader
4,4,1,0,0,25524,passsy/CompositeAndroid
2.5,5,1,3,0.33333335,1007,fourbrother/kstools
2,4.5,1,1,0,4391,anji-plus/captcha
2.5,5,1,1,0,1633,jlmd/UpcomingMoviesMVP
2,3,1,0,0,3958,yydcdut/SlideAndDragListView
4,4,1,0,0,1094,ronaldsmartin/Material-ViewPagerIndicator
2,4,1,1.5,0.5,2185,Pugmatt/BedrockConnect
2,2,1,0,0,863,yoruriko/LiquidButton
4,6,1,1,0,2495,HokoFly/HokoBlur
2,2,1,0,0,870,passy/Android-DirectoryChooser
0,0,1,0,0,683,Mirkoddd/TabBarView
3,4,1,1,0,59813,googlearchive/science-journal
4,5,1,0,0,41764,vogellacompany/codeexamples-android
2,2,1,0,0,435,AChep/Header2ActionBar
3,4,1,1,0,1447,zzz40500/Android-PullToNextLayout
4,6,1,1,0.5,816,jodoglevy/gargl
4.5,6,1,0,0,766,Karumi/HeaderRecyclerView
2.5,5.5,1,0,0,809,wosyingjun/beauty_ssm_cluster
4,5,1,1,0,11321,ifeilong/feilong-core
2,2.5,1,0,0,605,yangxch/WebSocketClient
3,3,1,0,0,5572,handsomezhou/PinyinSearchLibrary
5,6,3,6,0,863,GautamChibde/android-audio-visualizer
2,3,1,0,0,1565,baoyongzhang/Treasure
5,6,1,1,0,9252,groupon/DotCi
4,6.5,1,1,0,2479,yellowcath/YcShareElement
2,3,1,0,0,1368,klinker24/Android-3DTouch-PeekView
2,3,1,0,0,1320,ahorn/android-rss
3,3,2,1,0,321,BoD/android-switch-backport
3,4,1,1,0.25,3615,Gericop/Android-Support-Preference-V7-Fix
5,6,1,0,0,452,spring-cloud/spring-cloud-security
5,8,1,0,0,262397,GerritCodeReview/gerrit
2,3.5,1,0,0,7344,android/views-widgets-samples
4,7,1,0,0,4360,citerus/dddsample-core
3,4,1,0,0,60130,amirzaidi/Launcher3
2,2,1,0,0,1993,yangfuhai/ASimpleCache
3,7,1,1,0.5,2884,eirslett/frontend-maven-plugin
3,4.5,1,0,0,1004,pqpo/SmartCropper
4,5,1,0,0,2971,rockerhieu/emojicon
3,4,1,0,0,5777,ryanhoo/StylishMusicPlayer
4,7,1,1,0,614813,vespa-engine/vespa
2,4,1,0,0,32967,powermock/powermock
3,3.5,1,0,0,2714,react-native-webrtc/react-native-webrtc
2,4,1,1,0.33333334,6519,litesuits/android-common
3,3,1,0,0,4269,willowtreeapps/spruce-android
5,7,1,1,0,11288,nytimes/Store
3,3,1,0,0,10156,johncarl81/parceler
5,6,2,3,0,2693,meefik/linuxdeploy
3,4,1,0,0,26870,oblac/jodd
3,6,1,1,0,32004,apache/shiro
2,2,1,1,0,1246,binIoter/GuideView
4,7,2,0,0,25173,bytedeco/javacpp
4,4,1,0,0,804,sunfusheng/MarqueeView
3,3,1,0,0,513,dongjunkun/DropDownMenu
4,7,1,1,0.1,67401,apache/incubator-heron
2,2,1.5,0,0.071428575,343,tyrantgit/ExplosionField
1,1,1,0,0,4848,luontola/retrolambda
5,8,1,1,0.25,265345,apache/pinot
1,2,1,0,0,996,mercyblitz/tech-weekly
2,2,1,0,0,2735,lsjwzh/RecyclerViewPager
4,5,1,1,0,42188,Atmosphere/atmosphere
0,0,1,0,NaN,933,kikoso/android-stackblur
3,5,2,1,0,105464,pmd/pmd
2,3,1,1,0,1347,baoyongzhang/SwipeMenuListView
2,4,1,0,0,39118,tuguangquan/mybatis
4,7,1,1,0,17430,cabaletta/baritone
6,9,1,0,0.16666667,47100,Netflix/conductor
2,2,1,0,0,4170,arimorty/floatingsearchview
2,2,1,0,0,4002,lygttpod/SuperTextView
6,8,1,1,0,21410,linkedin/datahub
2,3,1,0,0,11939,codeestX/GeekNews
3,5,1,1,0,3101,xcc3641/SeeWeather
3,4,1,0,0,2252,google/open-location-code
3,5,1,0,0,359292,openhab/openhab1-addons
4,5,1,0,0,117,JakeWharton/ThreeTenABP
5,5,1,0,0.33333334,497,CameraKit/blurkit-android
3,4,1,0,0,98740,querydsl/querydsl
4,5,1,1,0,15853,davideas/FlexibleAdapter
3.5,3.5,2,0.5,0,926,andremion/Music-Player
3,5,1,1,0.5,87731,dropbox/hackpad
4,5,1,1,0,33667,TeamAmaze/AmazeFileManager
3,5,2,0,0,4680,stfalcon-studio/ChatKit
7.5,9,2,3,0.31666667,5355,bilibili/MagicaSakura
3,6,1,0,0,219030,jitsi/jitsi
5,7,1,0,0,7862,failsafe-lib/failsafe
3,5.5,1,1,0,22397,guolindev/giffun
3,4,1,0,0,1626,avast/android-butterknife-zelezny
4,4,1,0,0,3612,mybatis/spring-boot-starter
3,3,1,0,0,998,Ereza/CustomActivityOnCrash
2,2,1,0,0,12809,M66B/NetGuard
4,6,1,0,0,62972,sofastack/sofa-rpc
3,4,1,0,0,14102,yigit/android-priority-jobqueue
2,5,1,0,0,1543,code4craft/tiny-spring
3,5,1,1,0,15032,mpusher/mpush
5,6,1,0,0,3566,google/rejoiner
4,5,1,1,0,88767,xuexiangjys/XUI
2,4,1,2,0,12864,crossoverJie/SSM
3.5,6,1,0,0,2029,ivacf/archi
2,4,1,0,0.390873015,11663,linyiqun/DataMiningAlgorithm
3,5,1,1,0.33333334,63302,oracle/opengrok
6,7,1,0,0,10265,Exrick/xboot
2,2,1,0,0,8980,rovo89/XposedInstaller
2,5,1,1,0.33333334,9669,apache/dubbo-admin
3,6,1,0,0,193219,runelite/runelite
7,8,4,55,0.90909094,568773,LWJGL/lwjgl3
6,9,1,1,0,54921,mock-server/mockserver
3,3.5,1,1,0,2925,WVector/AppUpdate
2,2,1,0,0,1085,mcxtzhang/SwipeDelMenuLayout
2,2,1,0,0,2003,alamkanak/Android-Week-View
3,6,1,0,0,134425,actorapp/actor-platform
3,4,1,0,0,752,ethanhua/Skeleton
4,7,1,0,0,81705,graphhopper/graphhopper
4.5,6,1,0,0,396,abel533/MyBatis-Spring-Boot
4,6,1,1,0,4857,j-easy/easy-rules
2,2,1,0,0,2057,shekhargulati/99-problems
5,7.5,1,1,0,13367,googlemaps/android-maps-utils
3,6,1,1,0,8490,stylefeng/Guns
5,7,2,3,0.4,35436,jeremylong/DependencyCheck
2,5,1,0,0,32649,web3j/web3j
4,7,1,0,0,161707,knowm/XChange
2,3,1,1,0,17612,GitLqr/LQRWeChat
3,5,1,0,0,3898,lisawray/groupie
1,1,1,0,0,1399,promeG/TinyPinyin
1,2,1,0,0,82448,jboss-javassist/javassist
5,7,1,0,0,184249,line/armeria
4,6,1,1,0,68759,code4craft/netty-learning
2,2,1,0,0,631,iammert/ScalingLayout
1,2,1,0,0,21217,sherxon/AlgoDS
2,4,1,0,0,1449,luojilab/DDComponentForAndroid
2,3,1,0,0,1215,rubensousa/PreviewSeekBar
